Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items
"12,868,000","1,722,000","11,146,000","6,909,000","4,237,000","-73,000","12,000","4,176,000","-1,084,000","5,260,000","5,260,000",-,-,-,-,"4,237,000","8,631,000","5,260,000","5,251,240","43,000","116,000","-73,000","4,292,000","5,049,000","1,127,000","757,000","5,260,000","12,000","12,000","5,037,000",0,"3,240"
"12,868,000","1,722,000","11,146,000","6,909,000","4,237,000","-73,000","12,000","4,176,000","-1,084,000","5,260,000","5,260,000",-,-,-,-,"4,237,000","8,631,000","5,260,000","5,251,240","43,000","116,000","-73,000","4,292,000",-,"1,127,000","757,000","5,260,000","12,000","12,000","5,037,000",0,"3,240"
"11,171,297","1,672,720","9,498,577","6,230,456","3,268,121","-88,893","25,513","3,204,741","253,283","2,951,458","2,951,458",0.0061,0.006,"486,291","491,572","3,268,121","7,903,176","2,951,458","2,928,271","68,321","157,214","-88,893","3,361,955",-,"1,111,295","736,669","2,951,458","25,203","25,203","4,073,421",0,"2,016"
"9,030,008","1,194,999","7,835,009","4,994,640","2,840,369","3,298","-49,791","2,793,876","203,102","2,590,774","2,590,774",0.0053,0.0052,"490,564","497,843","2,840,369","6,189,639","2,590,774","2,637,320","92,540","89,242","3,298","2,883,118",-,"939,608","346,492","2,590,774","-50,049","-50,049","3,279,659",0,"-3,503"
"7,301,505","1,010,491","6,291,014","4,122,919","2,168,095","-8,333","-22,121","2,137,641","443,687","1,693,954","1,693,954",0.0034,0.0034,"493,632","501,123","2,168,095","5,133,410","1,693,954","1,711,495","66,069","74,402","-8,333","2,212,043",-,"761,056","325,997","1,693,954","-22,204","-22,204","2,560,244",0,"-4,663"
