Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items
"6,452,000","2,036,000","4,416,000","2,669,000","1,747,000","-16,000","-61,000","1,670,000","109,000","1,561,000","1,561,000",-,-,-,-,"1,649,000","4,705,000","1,561,000","1,652,604","74,000","90,000","-16,000","1,760,000","2,261,000","2,036,000","501,000","1,561,000","-98,000","-98,000","2,359,000",0,"-6,396"
"8,086,000","2,260,000","5,826,000","2,998,000","2,828,000","-78,000","-134,000","2,616,000","419,000","2,197,000","2,197,000",0.0029,0.0028,"771,000","778,000","2,734,000","5,258,000","2,197,000","2,299,480","21,000","99,000","-78,000","2,715,000",-,"2,260,000","446,000","2,197,000","-122,000","-122,000","3,283,000",0,"-19,520"
"6,489,000","2,094,000","4,395,000","2,656,000","1,739,000","-11,000","-95,000","1,633,000","130,000","1,503,000","1,503,000",0.002,0.002,"767,000","771,000","1,607,000","4,750,000","1,503,000","1,589,480","79,000","90,000","-11,000","1,723,000",-,"2,094,000","553,000","1,503,000","-94,000","-94,000","2,370,000",0,"-7,520"
"7,500,000","2,517,000","4,983,000","2,995,000","1,988,000","-71,000","-40,000","1,877,000","64,000","1,813,000","1,813,000",0.0024,0.0024,"762,000","771,000","1,988,000","5,512,000","1,813,000","1,851,800",-,-,"-71,000","1,988,000",-,"2,517,000","998,000","1,813,000","-40,000","-40,000","3,026,000",0,"-1,200"
"7,017,000","2,501,000","4,516,000","3,207,000","1,309,000","-146,000","-12,000","1,151,000","878,000","273,000","273,000",0,0,"754,000","766,000","1,309,000","5,708,000","273,000","280,200",-,-,"-146,000","1,309,000",-,"2,501,000","1,199,000","273,000","-12,000","-12,000","2,520,000",0,"-4,800"
