Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
"822,958","-500,110","74,136","1,144,703","146,073","34,011","-500,558","3,204","998,240","-429,735","-389,000","322,400"
"969,688","-266,897","-285,997","834,992","146,073","34,011","-267,806","3,270","1,347,092","-1,102,568","-469,691","701,882"
"866,909","-462,939","-882,153","418,665","108,163","41,099","-471,648","3,334",0,"-310,047","-498,435","395,261"
"811,028","-191,827","-263,915","896,527","143,213","45,322","-193,715","3,200",0,0,"-281,354","617,313"
"600,805","-178,639","-14,872","546,937","192,116","53,509","-189,758","4,076","548,404","-534,400","-6,498","411,047"
