Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
"34,603,000","29,883,000","4,720,000","21,085,000","2,634,000","746,000","52,000","22,515,000","746,000","19,881,000","18,792,000","818,399","665,370","153,029"
"33,648,000","28,419,000","5,229,000","21,301,000","2,996,000","1,468,000","135,000","23,169,000","1,468,000","20,173,000","19,144,000","817,844","663,953","153,891"
"32,521,000","26,917,000","5,604,000","20,844,000","3,208,000","1,713,000","616,000","22,503,000","1,713,000","19,295,000","18,129,000","817,204","662,298","154,906"
"33,112,000","28,267,000","4,845,000","20,266,000","2,465,000","1,040,000","370,000","22,430,000","1,040,000","19,965,000","19,016,000","816,313","660,388","155,925"
