Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
"24,284,000","11,020,000","13,264,000","17,381,000","13,264,000","591,000","1,163,000","2,634,000","17,381,000","1,163,000","4,708,000",-,"601,000","479,000","122,000"
"20,762,400","10,232,245","10,530,155","11,519,079","10,530,155",-,"-1,881,609","-1,696,013","14,668,422","-1,881,609","4,138,267","1,488,046","600,834","482,339","118,495"
"18,768,682","9,406,568","9,362,114","13,486,914","9,362,114",-,"-3,287,935","555,913","13,486,914","-3,287,935","4,124,800","2,482,025","600,834","487,663","113,171"
"14,535,556","6,075,687","8,459,869","10,341,290","8,459,869",-,"2,252,650","3,720,356","10,341,290","2,252,650","1,881,421",-,"600,834","491,262","109,572"
