,Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items
ttm,"32,184,000","16,605,000","15,579,000","8,807,000","6,772,000","-500,000","439,000","6,711,000","1,318,000","-5,000","5,384,000","5,384,000",-,-,-,-,"7,161,000","25,412,000","5,384,000","5,071,244","29,000","529,000","-500,000","7,240,000","9,151,000","16,605,000","1,911,000","5,384,000","389,000","389,000","8,762,000",0,"76,244"
12/31/2020,"32,184,000","16,605,000","15,579,000","8,807,000","6,772,000","-500,000","439,000","6,711,000","1,318,000","-5,000","5,384,000","5,384,000",-,-,-,-,"7,161,000","25,412,000","5,384,000","5,071,244","29,000","529,000","-500,000","7,240,000",-,"16,605,000","1,911,000","5,384,000","389,000","389,000","8,762,000",0,"76,244"
12/31/2019,"32,136,000","17,136,000","15,000,000","8,940,000","6,060,000","-368,000","20,000","5,712,000","1,130,000",-,"4,570,000","4,570,000",0.0079,0.0078,"577,000","585,100","6,174,000","26,076,000","4,570,000","4,608,496","80,000","448,000","-368,000","6,160,000",-,"17,136,000","1,593,000","4,570,000","-48,000","-48,000","7,801,000",0,"-9,504"
12/31/2018,"32,765,000","16,682,000","16,083,000","9,423,000","6,660,000","-280,000","620,000","7,000,000","1,637,000",-,"5,349,000","5,349,000",0.0091,0.0089,"588,500","602,000","7,207,000","26,105,000","5,349,000","4,929,998","70,000","350,000","-280,000","7,350,000",-,"16,682,000","1,488,000","5,349,000","547,000","547,000","8,291,000",0,"127,998"
12/31/2017,"31,657,000","16,001,000","15,656,000","8,422,000","7,234,000","-272,000","586,000","7,548,000","2,679,000",-,"4,858,000","4,858,000",0.0081,0.0079,"597,500","612,700","7,820,000","24,423,000","4,858,000","4,480,030","50,000","322,000","-272,000","7,870,000",-,"16,001,000","1,544,000","4,858,000","586,000","586,000","8,828,000",0,"208,030"
