Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
"11,839,636","8,280,124","3,559,512","4,592,496","3,559,512","2,014,499","1,884,795","1,526,086","4,592,496","1,884,795","3,047,483","197,992","76,305","66,361","9,944"
"11,248,525","7,699,444","3,549,081","4,296,401","3,549,081","2,017,159","1,847,085","1,217,841","4,296,401","1,847,085","2,764,479","328,655","76,051","69,232","6,819"
"9,040,648","5,489,835","3,550,813","4,596,533","3,550,813",-,"2,009,983","2,196,504","4,596,533","2,009,983","1,045,720","149,193","75,831","72,460","3,371"
"8,482,301","5,067,105","3,415,196","4,459,523","3,415,196",-,"1,823,229","1,946,795","4,459,523","1,823,229","1,044,327","497,390","75,569","73,936","1,633"
