Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Total Capitalization,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Working Capital,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
"72,548,000","39,545,000","33,003,000","51,311,000","32,784,000","902,000","-5,744,000","8,534,000","51,531,000","-5,744,000","19,649,000","11,909,000","1,981,157","1,771,230","209,927"
"67,887,000","36,586,000","31,301,000","47,749,000","31,088,000","755,000","-9,132,000","4,804,000","49,227,000","-9,132,000","18,894,000","14,279,000","1,976,855","1,762,503","214,352"
"67,173,000","36,451,000","30,722,000","49,883,000","30,524,000",-,"-11,672,000","5,620,000","50,090,000","-11,672,000","19,566,000","15,722,000","1,971,189","1,755,619","215,570"
"76,250,000","45,152,000","31,098,000","58,107,000","30,897,000",-,"-14,596,000","11,235,000","58,821,000","-14,596,000","27,924,000","18,517,000","1,965,908","1,743,602","222,306"
