Total Revenue,Cost of Revenue,Gross Profit,Operating Expense,Operating Income,Net Non Operating Interest Income Expense,Other Income Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Total Operating Income as Reported,Total Expenses,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,EBIT,EBITDA,Reconciled Cost of Revenue,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Normalized EBITDA,Tax Rate for Calcs,Tax Effect of Unusual Items
"34,057,000","7,687,000","26,370,000","12,564,000","13,806,000","-1,612,000","-3,214,000","8,980,000","544,000","8,394,000","8,394,000",-,-,-,-,"13,576,000","20,251,000","8,436,000","8,690,583","348,000","1,960,000","-1,612,000","10,940,000","13,013,000","7,687,000","2,073,000","8,436,000","-271,000","-271,000","13,284,000",0,"-16,417"
"45,804,000","15,387,000","30,417,000","17,856,000","12,561,000","-2,280,000","-6,883,000","3,398,000","-1,224,000","4,556,000","4,556,000",0.0027,0.0027,"1,667,000","1,673,000","11,363,000","33,243,000","4,616,000","5,542,370","174,000","2,454,000","-2,280,000","5,852,000",-,"15,387,000","6,471,000","4,616,000","-1,269,000","-1,269,000","13,592,000",0,"-342,630"
"33,266,000","7,439,000","25,827,000","12,459,000","13,368,000","-1,509,000","-3,433,000","8,426,000","544,000","7,842,000","7,842,000",0.0053,0.0053,"1,481,000","1,484,000","12,983,000","19,898,000","7,882,000","8,281,245","275,000","1,784,000","-1,509,000","10,210,000",-,"7,439,000","2,017,000","7,882,000","-427,000","-427,000","12,654,000",0,"-27,755"
"32,753,000","7,718,000","25,035,000","18,228,000","6,807,000","-1,144,000","-466,000","5,197,000","-490,000","5,657,000","5,657,000",0.0037,0.0037,"1,541,000","1,546,000","6,383,000","25,946,000","5,687,000","6,014,040","204,000","1,348,000","-1,144,000","6,545,000",-,"7,718,000","1,765,000","5,687,000","-448,000","-448,000","8,758,000",0,"-120,960"
"28,216,000","7,040,000","21,176,000","11,257,000","9,919,000","-1,004,000","-1,188,000","7,727,000","2,418,000","5,283,000","5,283,000",0.0033,0.0033,"1,596,000","1,603,000","9,592,000","18,297,000","5,309,000","5,774,750","146,000","1,150,000","-1,004,000","8,877,000",-,"7,040,000","1,501,000","5,309,000","-675,000","-675,000","11,053,000",0,"-209,250"
